date,state,crop_name,price_usd_per_lb
2020-10-01,AL,Cotton,0.818
2020-11-01,AL,Cotton,0.826
2020-12-01,AL,Cotton,0.836
2021-01-01,AL,Cotton,0.852
2021-02-01,AL,Cotton,0.798
2021-03-01,AL,Cotton,0.789
2021-04-01,AL,Cotton,0.737
2021-05-01,AL,Cotton,0.738
2021-06-01,AL,Cotton,0.738
2021-07-01,AL,Cotton,0.761
2021-08-01,AL,Cotton,0.788
2021-09-01,AL,Cotton,0.793
2021-10-01,AL,Cotton,0.781
2021-11-01,AL,Cotton,0.793
2021-12-01,AL,Cotton,0.78
2022-01-01,AL,Cotton,0.78
2022-02-01,AL,Cotton,0.803
2022-03-01,AL,Cotton,0.79
2022-04-01,AL,Cotton,0.809
2022-05-01,AL,Cotton,0.825
2022-06-01,AL,Cotton,0.802
2022-07-01,AL,Cotton,0.825
2022-08-01,AL,Cotton,0.842
2022-09-01,AL,Cotton,0.845
2022-10-01,AL,Cotton,0.826
2022-11-01,AL,Cotton,0.804
2022-12-01,AL,Cotton,0.791
2023-01-01,AL,Cotton,0.804
2023-02-01,AL,Cotton,0.781
2023-03-01,AL,Cotton,0.791
2023-04-01,AL,Cotton,0.762
2023-05-01,AL,Cotton,0.757
2023-06-01,AL,Cotton,0.76
2023-07-01,AL,Cotton,0.815
2023-08-01,AL,Cotton,0.782
2023-09-01,AL,Cotton,0.816
2023-10-01,AL,Cotton,0.82
2023-11-01,AL,Cotton,0.83
2023-12-01,AL,Cotton,0.833
2024-01-01,AL,Cotton,0.844
2024-02-01,AL,Cotton,0.84
2024-03-01,AL,Cotton,0.877
2024-04-01,AL,Cotton,0.865
2024-05-01,AL,Cotton,0.894
2024-06-01,AL,Cotton,0.877
2024-07-01,AL,Cotton,0.875
2024-08-01,AL,Cotton,0.847
2024-09-01,AL,Cotton,0.859
2024-10-01,AL,Cotton,0.896
2024-11-01,AL,Cotton,0.894
2024-12-01,AL,Cotton,0.889
2025-01-01,AL,Cotton,0.859
2025-02-01,AL,Cotton,0.853
2025-03-01,AL,Cotton,0.812
2025-04-01,AL,Cotton,0.79
2025-05-01,AL,Cotton,0.795
2025-06-01,AL,Cotton,0.827
2025-07-01,AL,Cotton,0.897
2025-08-01,AL,Cotton,0.881
2025-09-01,AL,Cotton,0.919
2020-10-01,AL,Peanut,0.262
2020-11-01,AL,Peanut,0.261
2020-12-01,AL,Peanut,0.264
2021-01-01,AL,Peanut,0.265
2021-02-01,AL,Peanut,0.265
2021-03-01,AL,Peanut,0.262
2021-04-01,AL,Peanut,0.251
2021-05-01,AL,Peanut,0.24
2021-06-01,AL,Peanut,0.244
2021-07-01,AL,Peanut,0.242
2021-08-01,AL,Peanut,0.238
2021-09-01,AL,Peanut,0.238
2021-10-01,AL,Peanut,0.244
2021-11-01,AL,Peanut,0.245
2021-12-01,AL,Peanut,0.24
2022-01-01,AL,Peanut,0.249
2022-02-01,AL,Peanut,0.261
2022-03-01,AL,Peanut,0.265
2022-04-01,AL,Peanut,0.272
2022-05-01,AL,Peanut,0.283
2022-06-01,AL,Peanut,0.292
2022-07-01,AL,Peanut,0.297
2022-08-01,AL,Peanut,0.303
2022-09-01,AL,Peanut,0.308
2022-10-01,AL,Peanut,0.297
2022-11-01,AL,Peanut,0.304
2022-12-01,AL,Peanut,0.291
2023-01-01,AL,Peanut,0.284
2023-02-01,AL,Peanut,0.296
2023-03-01,AL,Peanut,0.303
2023-04-01,AL,Peanut,0.316
2023-05-01,AL,Peanut,0.314
2023-06-01,AL,Peanut,0.303
2023-07-01,AL,Peanut,0.301
2023-08-01,AL,Peanut,0.302
2023-09-01,AL,Peanut,0.302
2023-10-01,AL,Peanut,0.313
2023-11-01,AL,Peanut,0.309
2023-12-01,AL,Peanut,0.313
2024-01-01,AL,Peanut,0.303
2024-02-01,AL,Peanut,0.307
2024-03-01,AL,Peanut,0.308
2024-04-01,AL,Peanut,0.301
2024-05-01,AL,Peanut,0.298
2024-06-01,AL,Peanut,0.297
2024-07-01,AL,Peanut,0.294
2024-08-01,AL,Peanut,0.31
2024-09-01,AL,Peanut,0.309
2024-10-01,AL,Peanut,0.307
2024-11-01,AL,Peanut,0.288
2024-12-01,AL,Peanut,0.28
2025-01-01,AL,Peanut,0.278
2025-02-01,AL,Peanut,0.272
2025-03-01,AL,Peanut,0.283
2025-04-01,AL,Peanut,0.282
2025-05-01,AL,Peanut,0.293
2025-06-01,AL,Peanut,0.293
2025-07-01,AL,Peanut,0.294
2025-08-01,AL,Peanut,0.293
2025-09-01,AL,Peanut,0.293
2020-10-01,AL,Rice,0.189
2020-11-01,AL,Rice,0.176
2020-12-01,AL,Rice,0.166
2021-01-01,AL,Rice,0.163
2021-02-01,AL,Rice,0.163
2021-03-01,AL,Rice,0.166
2021-04-01,AL,Rice,0.169
2021-05-01,AL,Rice,0.167
2021-06-01,AL,Rice,0.172
2021-07-01,AL,Rice,0.177
2021-08-01,AL,Rice,0.178
2021-09-01,AL,Rice,0.183
2021-10-01,AL,Rice,0.185
2021-11-01,AL,Rice,0.182
2021-12-01,AL,Rice,0.185
2022-01-01,AL,Rice,0.186
2022-02-01,AL,Rice,0.186
2022-03-01,AL,Rice,0.194
2022-04-01,AL,Rice,0.18
2022-05-01,AL,Rice,0.172
2022-06-01,AL,Rice,0.166
2022-07-01,AL,Rice,0.164
2022-08-01,AL,Rice,0.163
2022-09-01,AL,Rice,0.156
2022-10-01,AL,Rice,0.151
2022-11-01,AL,Rice,0.147
2022-12-01,AL,Rice,0.158
2023-01-01,AL,Rice,0.167
2023-02-01,AL,Rice,0.165
2023-03-01,AL,Rice,0.163
2023-04-01,AL,Rice,0.157
2023-05-01,AL,Rice,0.148
2023-06-01,AL,Rice,0.148
2023-07-01,AL,Rice,0.143
2023-08-01,AL,Rice,0.143
2023-09-01,AL,Rice,0.136
2023-10-01,AL,Rice,0.133
2023-11-01,AL,Rice,0.133
2023-12-01,AL,Rice,0.135
2024-01-01,AL,Rice,0.137
2024-02-01,AL,Rice,0.131
2024-03-01,AL,Rice,0.135
2024-04-01,AL,Rice,0.131
2024-05-01,AL,Rice,0.134
2024-06-01,AL,Rice,0.134
2024-07-01,AL,Rice,0.128
2024-08-01,AL,Rice,0.127
2024-09-01,AL,Rice,0.128
2024-10-01,AL,Rice,0.131
2024-11-01,AL,Rice,0.13
2024-12-01,AL,Rice,0.136
2025-01-01,AL,Rice,0.14
2025-02-01,AL,Rice,0.139
2025-03-01,AL,Rice,0.142
2025-04-01,AL,Rice,0.151
2025-05-01,AL,Rice,0.16
2025-06-01,AL,Rice,0.154
2025-07-01,AL,Rice,0.149
2025-08-01,AL,Rice,0.156
2025-09-01,AL,Rice,0.151
2020-10-01,AL,Tomato (processing),0.096
2020-11-01,AL,Tomato (processing),0.095
2020-12-01,AL,Tomato (processing),0.096
2021-01-01,AL,Tomato (processing),0.096
2021-02-01,AL,Tomato (processing),0.094
2021-03-01,AL,Tomato (processing),0.092
2021-04-01,AL,Tomato (processing),0.09
2021-05-01,AL,Tomato (processing),0.087
2021-06-01,AL,Tomato (processing),0.093
2021-07-01,AL,Tomato (processing),0.094
2021-08-01,AL,Tomato (processing),0.097
2021-09-01,AL,Tomato (processing),0.095
2021-10-01,AL,Tomato (processing),0.095
2021-11-01,AL,Tomato (processing),0.093
2021-12-01,AL,Tomato (processing),0.085
2022-01-01,AL,Tomato (processing),0.082
2022-02-01,AL,Tomato (processing),0.077
2022-03-01,AL,Tomato (processing),0.072
2022-04-01,AL,Tomato (processing),0.07
2022-05-01,AL,Tomato (processing),0.072
2022-06-01,AL,Tomato (processing),0.072
2022-07-01,AL,Tomato (processing),0.075
2022-08-01,AL,Tomato (processing),0.076
2022-09-01,AL,Tomato (processing),0.078
2022-10-01,AL,Tomato (processing),0.076
2022-11-01,AL,Tomato (processing),0.077
2022-12-01,AL,Tomato (processing),0.079
2023-01-01,AL,Tomato (processing),0.077
2023-02-01,AL,Tomato (processing),0.078
2023-03-01,AL,Tomato (processing),0.08
2023-04-01,AL,Tomato (processing),0.079
2023-05-01,AL,Tomato (processing),0.076
2023-06-01,AL,Tomato (processing),0.073
2023-07-01,AL,Tomato (processing),0.073
2023-08-01,AL,Tomato (processing),0.074
2023-09-01,AL,Tomato (processing),0.072
2023-10-01,AL,Tomato (processing),0.072
2023-11-01,AL,Tomato (processing),0.074
2023-12-01,AL,Tomato (processing),0.075
2024-01-01,AL,Tomato (processing),0.078
2024-02-01,AL,Tomato (processing),0.081
2024-03-01,AL,Tomato (processing),0.079
2024-04-01,AL,Tomato (processing),0.083
2024-05-01,AL,Tomato (processing),0.082
2024-06-01,AL,Tomato (processing),0.084
2024-07-01,AL,Tomato (processing),0.084
2024-08-01,AL,Tomato (processing),0.083
2024-09-01,AL,Tomato (processing),0.079
2024-10-01,AL,Tomato (processing),0.078
2024-11-01,AL,Tomato (processing),0.075
2024-12-01,AL,Tomato (processing),0.077
2025-01-01,AL,Tomato (processing),0.08
2025-02-01,AL,Tomato (processing),0.079
2025-03-01,AL,Tomato (processing),0.079
2025-04-01,AL,Tomato (processing),0.078
2025-05-01,AL,Tomato (processing),0.076
